age,gender,user_id,eye_cream,exfoliator,peptide,cleansing_oil,sun_cream,cream,cleanser,face_mask,sunscreen,bath_salts,body_wash,ha,mask,toner,mist,body_lotion,gel,moisturizer,hair,serum
14,Female,3eacb1fc-d0d1-44ee-adb0-a058db492343,0,9,0,0,0,0,9,0,0,0,28,0,8,0,0,13,0,33,0,46
25,Female,84cd84eb-f88b-4568-96c3-5033ce6fb888,0,32,0,0,0,0,0,0,0,5,9,0,0,0,8,25,5,28,11,31
26,Male,ad987609-6ea3-488d-9882-42fc6f93d1ac,0,0,0,0,0,11,0,0,0,0,5,0,0,0,27,27,0,0,10,12
19,Male,bafae712-c377-40d6-91a8-36244199ca0b,0,0,0,0,3,0,18,0,27,0,31,0,8,0,0,25,0,0,20,34
19,Male,14810313-9774-4109-acef-54bc40dd6fa0,0,36,0,0,0,0,0,4,0,0,17,0,18,0,0,21,0,14,32,1
67,Male,c1afd874-b644-46bf-91f4-71dd9bc6afda,0,1,0,0,0,0,0,8,0,0,0,0,0,0,14,24,0,0,72,50
35,Female,5714f927-77d9-45a0-b680-354f402ea97e,0,12,0,0,0,0,0,0,0,0,0,0,41,0,0,41,11,19,74,0
58,Female,a82f813f-28ef-4582-b705-505a3d1a7db9,0,14,0,0,0,0,35,0,0,0,16,0,0,0,0,23,0,20,22,11
24,Female,812df83f-9d51-42fb-982d-c565a649cb8c,0,10,19,0,0,0,20,0,0,0,32,0,6,0,0,35,12,5,16,14
37,Male,a9008b36-80a4-4b0b-8a4c-d9e15e90a0d0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,13,20,18
22,Male,b3bc6c53-a91e-42f2-a0a0-c6a3290436b8,0,9,0,0,0,0,21,9,0,0,0,0,0,0,11,34,0,16,18,14
35,Female,21d66cda-6e34-42fb-a5f9-3283dc1b8570,0,23,0,0,0,48,0,0,0,0,26,0,13,0,0,26,0,10,0,0
20,Male,a2a577e8-0628-41aa-ac30-a5127d499530,0,10,0,0,0,13,0,19,0,0,23,0,0,0,0,5,0,10,57,15
52,Male,73611f18-bb84-4c84-a304-7495dc080d6f,0,0,0,0,0,13,2,0,0,0,17,0,18,0,0,80,0,11,3,11
35,Female,0a8bbe26-c4e2-4862-8c1b-770c9ee48b72,0,3,0,0,0,32,0,0,14,0,0,0,0,0,16,27,0,0,39,0
35,Male,b368ef01-95bb-4167-90eb-73129ac270a0,0,36,0,0,0,6,13,0,0,0,8,0,0,0,0,5,0,0,56,44
25,Male,5344b11d-7a38-431b-bdcc-15cf111ef859,0,8,0,5,0,0,0,0,4,0,26,0,0,17,0,23,0,55,23,0
46,Female,348d9c04-9caf-431f-8c77-ecc7502745cb,0,3,0,0,0,50,0,0,0,17,23,0,0,7,17,31,0,0,0,0
31,Male,fc9c7377-914a-4517-b719-4dd0b1ee3ab6,0,3,0,0,0,0,0,0,2,0,21,0,0,0,0,19,0,0,60,20
54,Female,f8f4d8b0-39eb-4a61-b083-86e7e028cac1,1,29,0,0,0,0,20,0,0,0,10,11,0,0,9,4,0,0,34,9
29,Male,444626ba-7ecb-464e-8b96-f0a68d4873c3,0,15,0,0,0,0,13,0,19,0,0,18,0,0,17,17,0,22,34,16
45,Female,77703d01-c4ae-48c9-b7c9-254c590b4d3a,0,34,0,0,0,0,17,0,0,0,0,0,0,0,4,28,0,18,67,15
35,Male,eb19a7b8-03d1-4199-adaa-6f4f22c345a3,0,0,0,0,0,8,0,0,0,0,25,0,0,0,22,4,0,14,42,15
40,Female,86d97469-4be2-4605-9c31-f51a6d97a18e,0,37,0,2,3,0,0,0,0,0,14,0,0,0,0,5,0,32,16,0
23,Female,128c502f-cdc6-4d2f-90a9-e47e0f9d115d,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,57,0,5,72,26
60,Male,f84f22fe-3168-4f8c-b10f-da5a469684ab,0,47,0,0,0,18,9,0,0,0,0,5,0,0,0,20,0,18,4,22
21,Female,6b6dba72-21f5-4e53-b0ef-f5a5533dc460,0,1,0,0,0,16,0,0,0,0,31,0,0,0,0,34,0,14,52,17
53,Male,0dffe132-cb51-4753-ae66-6e3956c52f7e,0,0,0,0,15,25,0,0,0,22,37,0,0,0,0,22,0,0,0,0
18,Male,835e63c5-ed3c-4efe-93ee-a276a020acf7,0,0,0,0,0,4,24,0,0,0,0,0,0,0,5,52,0,17,49,1
49,Female,ca8676da-6368-4aa1-a23d-1403a4fb08bb,0,16,0,0,0,12,1,0,0,13,0,0,8,0,0,31,0,0,27,0
21,Female,19a12212-fe60-4418-9016-cbc4b871724f,0,13,0,0,20,0,0,19,0,0,21,0,15,0,0,2,0,0,22,1
42,Female,cb9b456f-a9dc-49b9-bd02-236c0505e9fa,0,2,0,0,0,0,35,0,0,0,0,0,0,0,9,47,0,0,27,30
30,Female,9b2bb170-3627-435d-9da5-a2643a83051e,0,0,0,0,6,0,0,0,0,17,10,0,0,0,22,39,5,19,9,0
36,Female,a639d3ff-230e-4750-b5d5-e47d6a3462e9,0,35,0,0,0,0,0,0,0,0,12,0,0,0,0,75,0,19,2,6
