age,gender,eye_cream,exfoliator,peptide,cleansing_oil,sun_cream,cream,cleanser,face_mask,sunscreen,bath_salts,body_wash,ha,mask,toner,mist,body_lotion,gel,moisturizer,hair,serum,cluster,user_id
14.0,1,0,9,0,0,0,0,9,0,0,0,28,0,8,0,0,13,0,33,0,46,4,3eacb1fc-d0d1-44ee-adb0-a058db492343
25.0,1,0,32,0,0,0,0,0,0,0,5,20,0,0,0,8,25,5,28,11,31,4,84cd84eb-f88b-4568-96c3-5033ce6fb888
26.0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,27,27,0,0,10,12,3,ad987609-6ea3-488d-9882-42fc6f93d1ac
19.0,0,0,0,0,0,3,0,18,0,27,0,31,0,8,0,0,25,0,0,20,34,3,bafae712-c377-40d6-91a8-36244199ca0b
19.0,0,0,36,0,0,0,0,0,4,0,0,17,0,18,0,0,21,0,14,32,1,3,14810313-9774-4109-acef-54bc40dd6fa0
67.0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,14,24,0,0,72,50,1,c1afd874-b644-46bf-91f4-71dd9bc6afda
35.0,1,0,12,0,0,0,0,0,0,0,0,0,0,41,0,0,41,11,19,74,0,2,5714f927-77d9-45a0-b680-354f402ea97e
58.0,1,0,14,0,0,0,0,35,0,0,0,16,0,0,0,0,23,0,20,22,11,0,a82f813f-28ef-4582-b705-505a3d1a7db9
24.0,1,0,10,19,0,0,0,20,0,0,0,32,0,6,0,0,35,12,5,16,14,4,812df83f-9d51-42fb-982d-c565a649cb8c
37.0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,13,20,18,3,a9008b36-80a4-4b0b-8a4c-d9e15e90a0d0
22.0,0,0,9,0,0,0,0,21,9,0,0,0,0,0,0,11,34,0,16,18,14,3,b3bc6c53-a91e-42f2-a0a0-c6a3290436b8
35.0,1,0,23,0,0,0,48,0,0,0,0,26,0,13,0,0,26,0,10,0,0,4,21d66cda-6e34-42fb-a5f9-3283dc1b8570
20.0,0,0,10,0,0,0,13,0,19,0,0,23,0,0,0,0,5,0,10,57,15,3,a2a577e8-0628-41aa-ac30-a5127d499530
52.0,0,0,0,0,0,0,13,2,0,0,0,17,0,18,0,0,80,0,11,3,11,1,73611f18-bb84-4c84-a304-7495dc080d6f
35.0,1,0,3,0,0,0,32,0,0,14,0,0,0,0,0,16,27,0,0,39,0,4,0a8bbe26-c4e2-4862-8c1b-770c9ee48b72
35.0,0,0,36,0,0,0,6,13,0,0,0,8,0,0,0,0,5,0,0,56,44,3,b368ef01-95bb-4167-90eb-73129ac270a0
25.0,0,0,8,0,5,0,0,0,0,4,0,26,0,0,17,0,23,0,55,23,0,3,5344b11d-7a38-431b-bdcc-15cf111ef859
46.0,1,0,3,0,0,0,50,0,0,0,17,23,0,0,7,17,31,0,0,0,0,4,348d9c04-9caf-431f-8c77-ecc7502745cb
31.0,0,0,3,0,0,0,0,0,0,2,0,21,0,0,0,0,19,0,0,60,20,3,fc9c7377-914a-4517-b719-4dd0b1ee3ab6
54.0,1,1,29,0,0,0,0,20,0,0,0,10,11,0,0,9,4,0,0,34,9,2,f8f4d8b0-39eb-4a61-b083-86e7e028cac1
29.0,0,0,15,0,0,0,0,13,0,19,0,0,18,0,0,17,17,0,22,34,16,3,444626ba-7ecb-464e-8b96-f0a68d4873c3
45.0,1,0,34,0,0,0,0,17,0,0,0,0,0,0,0,4,28,0,18,67,15,2,77703d01-c4ae-48c9-b7c9-254c590b4d3a
35.0,0,0,0,0,0,0,8,0,0,0,0,25,0,0,0,22,4,0,14,42,15,3,eb19a7b8-03d1-4199-adaa-6f4f22c345a3
40.0,1,0,37,0,2,3,0,0,0,0,0,14,0,0,0,0,5,0,32,16,0,4,86d97469-4be2-4605-9c31-f51a6d97a18e
23.0,1,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,57,0,5,72,26,2,128c502f-cdc6-4d2f-90a9-e47e0f9d115d
60.0,0,0,47,0,0,0,18,9,0,0,0,0,5,0,0,0,20,0,18,4,22,1,f84f22fe-3168-4f8c-b10f-da5a469684ab
21.0,1,0,1,0,0,0,16,0,0,0,0,31,0,0,0,0,34,0,14,52,17,4,6b6dba72-21f5-4e53-b0ef-f5a5533dc460
53.0,0,0,0,0,0,15,25,0,0,0,22,37,0,0,0,0,22,0,0,0,0,1,0dffe132-cb51-4753-ae66-6e3956c52f7e
