id,product_price,product_quantity,product_category,product_ratings_average,product_name,user_id
4599d40a-4909-4378-84d8-1cc5a5a49911,1536960,50,Mist,5,Lancôme La Nuit Tresor Nude Eau de Toilette - 50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
ce7470c3-44a7-4c60-b56d-e8ef80840c94,563552,25,Cream,4,LANEIGE Water Bank Blue Hyaluronic Cleansing Foam 150g,8c4451cf-3617-4d71-b003-c09d2eb5aa53
09ae45ab-786a-4fe7-9003-f33678ccc22c,2433520,50,Serum,5,Laura Mercier The Daydreamer's Indulgence Duo - Neroli Du Sud,8c4451cf-3617-4d71-b003-c09d2eb5aa53
7d8a08d5-ae0d-440e-bcb2-93bd751d5b48,2433520,50,Serum,5,Laura Mercier The Daydreamer's Indulgence Duo - Almond Coconut,8c4451cf-3617-4d71-b003-c09d2eb5aa53
c6d6fce4-10c7-4c17-bab9-855acfb378d0,217736,4,Bath Salts,4,L'Oréal Paris Men Expert Power Age Serum with Hyaluronic Acid 30ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
b69cbf49-79d8-4095-947a-edfc7844f064,832520,50,Cleanser,4,Liz Earle Cleanse and Polish Daily Skin Ritual Set,8c4451cf-3617-4d71-b003-c09d2eb5aa53
22890250-9c19-40c4-b433-78712270a500,1024640,1,Cleanser,5,Liz Earle Cleanse and Revitalise Collection (Worth £68.00),8c4451cf-3617-4d71-b003-c09d2eb5aa53
3abfc848-ec69-450e-89a7-8b2e361b69f0,1178336,1,Body Wash,5,Lab Series Instant Fix BB Tinted Moisturiser SPF35 PA+++  50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
3c59e633-5a73-4de3-a92d-dda55d38f164,184179.04,7,Body Wash,5,L'Oréal Paris Revitalift Filler [+ Hyaluronic Acid] Face Toner 200ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
d54b77e6-83b7-4c61-b9a2-0a77d28135cf,299451.04,20,Cream,5,L'Oréal Paris Dermo Expertise Revitalift Anti-Wrinkle + Firming Eye Cream (15ml),8c4451cf-3617-4d71-b003-c09d2eb5aa53
067a32f4-9709-4afc-a172-eb68a2d5908e,137045.6,11,Moisturizer,4,L'Oréal Paris Revitalift Filler [+ Hyaluronic Acid] Cleansing Micellar Water 200ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
f4edd99a-c075-41c8-a144-edb2b30ebcc4,640143.84,6,Body Wash,5,L'Oréal Paris Revitalift Filler Line Plumping Water Cream 50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
d171e38b-fcc9-4ddf-974a-73effc196911,460831.84,7,Moisturizer,5,L'Oréal Paris Revitalift Filler Hyaluronic Acid Anti-Ageing SPF50 Day Cream 50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
2c435a91-1377-4316-abeb-bd61da91bc88,428811.84,54,Bath Salts,5,L'Oréal Paris 2.5% Hyaluronic Acid Eye Serum 20ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
376b28aa-669d-4b7e-a2a0-a0cc2944396a,409599.84,1,Bath Salts,5,L'Oréal Paris Golden Age Eye Rosy Glow Cream 15ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
4d906008-8477-47b7-a0c7-0a298659a346,115015.84,12,Exfoliator,4,L'Oréal Paris Age Perfect Cleansing Wipes for Mature Skin (25 Wipes),8c4451cf-3617-4d71-b003-c09d2eb5aa53
9386537a-3afa-4bde-8dcd-f9ee184ee0f8,172651.84,19,Body Wash,5,L'Oréal Paris Dermo Expertise Triple Active Multi-Protection Day Moisturiser - Normal / Combination 50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
00139b41-5a36-4613-9aeb-e1e08139f723,409599.84,50,Body Wash,5,L'Oréal Paris Age Perfect Golden Age Night Cream Moisturiser 50ml,8c4451cf-3617-4d71-b003-c09d2eb5aa53
